ruta,emo_enojo,emo_asco,emo_miedo,emo_feliz,emo_triste,emo_sorpresa,emo_neutro,emocion_dominante,edad_estimada,genero_estimado,confianza_rostro,dx6_pred
images\ffhq_0.png,8.854795851220842e-06,9.81195480420638e-09,1.068476876753266e-06,0.978574447631836,0.0006808210746385157,0.0002140595024684444,0.02141638994216919,happy,29,"{'Woman': np.float32(3.658651), 'Man': np.float32(96.34135)}",0.91,Feliz
images\ffhq_1.png,0.02594907395541668,0.0013568130088970065,0.6830176115036011,0.9716975402832031,0.1539604663848877,0.03449155017733574,0.019314678907394408,happy,34,"{'Woman': np.float32(100.0), 'Man': np.float32(2.872555e-07)}",0.93,Feliz
images\ffhq_10.png,0.15535622835159302,7.33593333279714e-06,0.4251350784301758,0.010026134252548217,0.19306947708129882,0.03356191888451576,0.36988006591796874,fear,39,"{'Woman': np.float32(38.94886), 'Man': np.float32(61.051136)}",0.91,Ansiedad
images\ffhq_100.png,0.025336461141705513,1.184238726636977e-06,0.4631617069244385,0.7964005279541015,0.02453525923192501,0.19283357620239258,0.563558042049408,happy,33,"{'Woman': np.float32(0.01134553), 'Man': np.float32(99.98865)}",0.93,Feliz
images\ffhq_1000.png,0.15746411681175232,1.1782560704887146e-07,3.840896170004271e-05,0.656338119506836,0.0003032541135326028,0.006204514764249325,0.3420217895507813,happy,50,"{'Woman': np.float32(0.043080218), 'Man': np.float32(99.956924)}",0.95,Feliz
images\ffhq_1001.png,2.11789520108141e-05,8.602151768677402e-10,3.821452992269769e-05,0.9950389099121094,0.0027783510740846395,2.4312405457749264e-06,0.4932710528373718,happy,59,"{'Woman': np.float32(0.059261646), 'Man': np.float32(99.94074)}",0.0,Feliz
images\ffhq_1003.png,0.0016683170106261969,9.370252485041419e-08,0.43810969591140747,0.9951347351074219,0.020393360406160355,0.024492722004652023,0.0018590010004118085,happy,37,"{'Woman': np.float32(99.589935), 'Man': np.float32(0.4100562)}",0.91,Feliz
images\ffhq_1004.png,0.34104666113853455,8.950700021159719e-07,0.0512457937002182,0.8251023292541504,0.22185251116752625,0.04065758362412453,0.9852010345458985,neutral,29,"{'Woman': np.float32(1.2450955), 'Man': np.float32(98.754906)}",0.89,Feliz
images\ffhq_1005.png,0.15226598739624023,0.00010660241969162598,0.053782052993774414,0.008380776271224022,0.7559943389892578,0.016399016603827477,0.037708740234375,sad,50,"{'Woman': np.float32(0.003943766), 'Man': np.float32(99.996056)}",0.93,Depresión
images\ffhq_1007.png,0.004823536612093449,0.00011023372644558549,0.1365323543548584,0.8244913482666015,0.852474570274353,0.0005351961590349674,0.03039682865142822,happy,30,"{'Woman': np.float32(99.10856), 'Man': np.float32(0.89143515)}",0.92,Depresión
images\ffhq_1008.png,0.0233877282589674,1.5407729887957633e-13,1.2433654319465859e-06,0.2903856039047241,0.0005427867290563881,2.284831452925573e-07,0.9968568420410157,neutral,35,"{'Woman': np.float32(1.0530701), 'Man': np.float32(98.94693)}",0.0,Neutral
images\ffhq_1009.png,0.08253476023674011,3.958839300821637e-08,0.0019219440873712301,0.4764677882194519,0.9477753639221191,0.00011444597475929186,0.984911880493164,neutral,32,"{'Woman': np.float32(0.0036258167), 'Man': np.float32(99.996376)}",0.94,Depresión
images\ffhq_101.png,0.05193280220031738,0.002065282315015793,0.6887992095947265,0.010638947486877442,0.08800900459289551,0.15806977272033693,0.2529606819152832,fear,40,"{'Woman': np.float32(96.19251), 'Man': np.float32(3.8074822)}",0.0,Ansiedad
images\ffhq_1010.png,0.00298986560665071,1.4301485329326624e-08,3.9694481529295444e-05,0.8021558380126953,0.014383542351424694,0.000844188267365098,0.19766162872314452,happy,22,"{'Woman': np.float32(96.18124), 'Man': np.float32(3.8187618)}",0.93,Feliz
images\ffhq_1011.png,7.638043530988625e-10,1.7702868318936367e-14,1.7228468001187491e-12,0.9980352020263672,4.133893071411876e-06,2.449733926823683e-08,0.19646482169628143,happy,27,"{'Woman': np.float32(99.96203), 'Man': np.float32(0.037966516)}",0.91,Feliz
images\ffhq_1012.png,0.033397406339645386,5.674926639720468e-10,0.015985649079084396,5.6103122915374115e-05,0.17111092805862427,1.2756342584907543e-05,0.997794418334961,neutral,28,"{'Woman': np.float32(0.027316581), 'Man': np.float32(99.97269)}",0.95,Neutral
images\ffhq_1013.png,0.18116872012615204,0.00013735081302002072,0.23383212089538574,0.7377548813819885,0.11480716705322265,0.09251193702220917,0.8727387237548828,neutral,27,"{'Woman': np.float32(2.6627245), 'Man': np.float32(97.33727)}",0.0,Feliz
images\ffhq_1015.png,1.9879007595591247e-06,2.0061082244178519e-13,1.884115974348788e-08,0.9999723815917969,2.1522789950267907e-07,7.200469553936273e-05,0.002695853356271982,happy,49,"{'Woman': np.float32(99.813095), 'Man': np.float32(0.18690617)}",0.94,Feliz
